A1CF	APOBEC1
A2M	APOA1
A2M	BMP1
A2M	CDC42
A2M	F2
A2M	KLKB1
A2M	MMP2
A2M	NFKB1
A2M	PLG
A2M	PROC
A2M	PROS1
A2M	RAC1
A2M	RAC2
A2M	RAC3
A2M	RELA
A2M	RHOA
A2M	RHOB
A2M	RHOBTB1
A2M	RHOBTB2
A2M	RHOC
A2M	RHOD
A2M	RHOF
A2M	RHOG
A2M	RHOH
A2M	RHOJ
A2M	RHOQ
A2M	RHOT1
A2M	RHOT2
A2M	RHOU
A2M	RHOV
A2M	SERPING1
A2M	STAT1
A2M	STAT3
AAAS	BANF1
AAAS	CDC40
AAAS	CPSF1
AAAS	CPSF2
AAAS	CPSF3
AAAS	DDX20
AAAS	DHX38
AAAS	EIF4E
AAAS	GCK
AAAS	GCKR
AAAS	GEMIN4
AAAS	GEMIN5
AAAS	GEMIN6
AAAS	GEMIN7
AAAS	HMGA1
AAAS	KPNA1
AAAS	KPNB1
AAAS	MAGOH
AAAS	NCBP1
AAAS	NCBP2
AAAS	NUP107
AAAS	NUP133
AAAS	NUP153
AAAS	NUP155
AAAS	NUP160
AAAS	NUP188
AAAS	NUP205
AAAS	NUP210
AAAS	NUP214
AAAS	NUP35
AAAS	NUP37
AAAS	NUP43
AAAS	NUP50
AAAS	NUP54
AAAS	NUP62
AAAS	NUP85
AAAS	NUP88
AAAS	NUP93
AAAS	NUP98
AAAS	NUPL1
AAAS	NUPL2
AAAS	NXF1
AAAS	PHAX
AAAS	POM121
AAAS	PSIP1
AAAS	RAE1
AAAS	RAN
AAAS	RANBP2
AAAS	RBM8A
AAAS	RNPS1
AAAS	SEH1L
AAAS	SFRS1
AAAS	SFRS11
AAAS	SFRS2
AAAS	SFRS3
AAAS	SFRS4
AAAS	SFRS5
AAAS	SFRS6
AAAS	SFRS7
AAAS	SFRS9
AAAS	SIP1
AAAS	SLBP
AAAS	SMN1
AAAS	SNRPB
AAAS	SNRPD1
AAAS	SNRPD2
AAAS	SNRPD3
AAAS	SNRPE
AAAS	SNRPF
AAAS	SNRPG
AAAS	SNUPN
AAAS	SRRM1
AAAS	THOC4
AAAS	TPR
AAAS	U2AF1
AAAS	U2AF2
AAAS	UPF3B
AAAS	XPO1
AAG12	LIN7A
AAG12	LIN7B
AAG12	LIN7C
AAK1	BMP2K
AAK1	PLK1
AAK1	PLK2
AAK1	PLK3
AARS	HSPA9
AARS	IARS
AARS	KARS
AARS	TARS
AASDHPPT	FASN
AASDHPPT	PAFAH1B1
AASDHPPT	ZFR
AATF	E2F1
AATF	E2F2
AATF	E2F3
AATF	HDAC1
AATF	MAGED1
AATF	NGF
AATF	NGFR
AATF	RB1
AATF	RELA
AATF	TFDP1
AATK	CDK5
AATK	STK39
ABAT	ALDH5A1
ABCA1	APOA1
ABCA1	ARHGEF11
ABCA1	ARHGEF12
ABCA1	CSNK2B
ABCA1	JUN
ABCA1	SP3
ABCA1	USF1
ABCA1	USF2
ABCA1	UTRN
ABCA2	EGR1
ABCA2	SEC14L3
ABCA2	SP3
ABCA2	SP4
ABCA4	CNGB1
ABCA7	APOA1
ABCB1	ABCB4
ABCB1	ABCC1
ABCB1	CAV1
ABCB1	CEBPA
ABCB1	CEBPB
ABCB1	CFTR
ABCB1	EGR1
ABCB1	EGR2
ABCB1	ETS1
ABCB1	HIF1A
ABCB1	JUN
ABCB1	NFKB1
ABCB1	RARA
ABCB1	SP1
ABCB1	TP53
ABCB1	WT1
ABCB11	ABCC2
ABCB9	TAP1
ABCB9	TAP2
ABCC1	ABCC2
ABCC1	ABCC3
ABCC1	ABCC6
ABCC2	ABCC3
ABCC3	ALB
ABCC3	FABP6
ABCC8	ABCC9
ABCC8	CACNA1A
ABCC8	CACNA1B
ABCC8	CACNA1C
ABCC8	CACNA1D
ABCC8	CACNA1E
ABCC8	CACNA1G
ABCC8	ENSA
ABCC8	KCNJ11
ABCC9	KCNJ11
ABCC9	KCNJ8
ABCD1	ABCD2
ABCD1	ABCD3
ABCD1	PEX19
ABCD1	PEX3
ABCD2	ABCD3
ABCD2	TFAP2A
ABCD3	PEX19
ABCD3	PEX3
ABCE1	CCNT2
ABCE1	GNL3
ABCE1	KPNA2
ABCE1	LRPPRC
ABCE1	RAN
ABCE1	RNASE2
ABCE1	RNASEL
ABCE1	SLC25A5
ABCF1	EIF6
ABCG5	ABCG8
ABCG8	TMED5
ABHD5	PLIN
ABI1	ABL1
ABI1	ABL2
ABI1	ACTR2
ABI1	CYFIP2
ABI1	NCK2
ABI1	NCKAP1
ABI1	RAC1
ABI1	TENC1
ABI2	ABL1
ABI2	ABL2
ABI2	C3ORF10
ABI2	CYFIP1
ABI2	CYFIP2
ABI2	NCK2
ABI2	NCKAP1
ABI2	NCKAP1L
ABI2	RAC1
ABI2	RAC2
ABI2	RAC3
ABI2	SH3KBP1
ABI2	TNS3
ABI2	VCL
ABI2	WASF1
ABL1	ABL2
ABL1	ACAP1
ABL1	ADAM15
ABL1	AIRE
ABL1	APP
ABL1	ARHGEF11
ABL1	ASAP1
ABL1	ASB16
ABL1	ATM
ABL1	BAZ2A
ABL1	BCAR1
ABL1	BCR
ABL1	BLK
ABL1	BRCA1
ABL1	BRCA2
ABL1	BTK
ABL1	CABLES2
ABL1	CAP1
ABL1	CAV1
ABL1	CBL
ABL1	CBLB
ABL1	CBLC
ABL1	CCNA2
ABL1	CD2AP
ABL1	CDC2
ABL1	CDK2
ABL1	CDK5
ABL1	CDKN1B
ABL1	CNTNAP1
ABL1	COBRA1
ABL1	CREB1
ABL1	CRK
ABL1	CRKL
ABL1	CTNND2
ABL1	DDB1
ABL1	DDB2
ABL1	DKFZP686N21130
ABL1	DLX4
ABL1	E2F1
ABL1	EFS
ABL1	EPHA1
ABL1	EPHA2
ABL1	EPHA3
ABL1	EPHA4
ABL1	EPHA5
ABL1	EPHA7
ABL1	EPHA8
ABL1	EPHB1
ABL1	EPHB2
ABL1	EPHB3
ABL1	EPHB4
ABL1	EPHB6
ABL1	EVL
ABL1	FGR
ABL1	FYN
ABL1	GRB10
ABL1	GRB2
ABL1	GRIN2D
